,is_movie,release_year,year_added,month_added,duration_num,rating_num
698,0,2013,2017,4,60,14.0
699,1,2006,2018,1,91,14.0
700,1,2019,2019,8,117,14.0
701,1,2019,2020,3,117,14.0
702,0,2019,2020,8,60,18.0
703,0,2020,2020,6,180,18.0
705,0,2018,2020,11,60,10.0
707,0,2016,2017,4,60,18.0
708,1,1995,2018,4,78,0.0
709,1,2001,2018,4,75,0.0
710,1,2004,2018,4,78,0.0
711,1,2017,2018,3,149,18.0
712,1,2015,2017,3,103,14.0
713,1,2017,2019,12,108,14.0
714,1,2020,2020,7,84,18.0
715,1,2017,2019,4,94,17.0
717,1,1978,2017,11,141,10.0
718,1,2010,2018,7,122,18.0
719,1,2015,2019,12,134,14.0
720,0,2016,2018,6,60,18.0
721,0,2019,2019,11,60,18.0
722,1,2002,2018,9,107,18.0
723,0,2018,2019,3,60,14.0
724,0,2018,2019,7,60,14.0
725,0,2019,2019,7,60,14.0
726,0,2019,2019,7,60,14.0
727,1,2009,2018,9,126,14.0
728,1,2015,2018,9,122,18.0
729,1,2009,2019,12,95,14.0
730,1,2016,2017,10,88,18.0
731,0,2020,2020,10,60,18.0
732,1,2017,2017,8,101,18.0
748,1,2017,2017,11,109,14.0
749,1,2016,2019,3,132,14.0
750,0,2019,2019,9,60,18.0
751,1,2017,2018,8,110,14.0
752,1,2015,2018,7,99,13.0
753,1,2012,2018,11,144,14.0
754,1,2013,2018,8,91,14.0
755,1,2016,2016,12,105,18.0
756,1,1995,2018,4,166,10.0
757,1,1998,2018,11,103,17.0
758,1,1992,2020,10,128,17.0
759,0,2019,2019,8,60,10.0
761,0,2017,2018,2,300,18.0
762,1,2016,2018,10,118,14.0
763,1,2018,2019,5,87,13.0
764,1,2016,2020,10,77,17.0
765,1,2018,2018,12,98,18.0
766,0,2015,2015,12,60,14.0
767,1,2018,2018,3,94,18.0
768,0,2016,2016,8,60,10.0
769,0,2018,2018,9,60,18.0
770,1,1972,2019,12,125,10.0
771,1,2019,2020,9,29,10.0
772,1,2019,2019,3,102,18.0
773,1,1982,2019,12,121,14.0
774,1,2011,2020,7,116,14.0
775,1,2015,2017,2,110,18.0
776,1,2016,2019,11,88,10.0
777,0,2015,2016,10,60,10.0
778,0,2015,2016,10,60,14.0
780,1,2013,2017,3,52,0.0
781,1,1997,2018,8,89,13.0
782,1,2013,2017,3,52,0.0
783,0,2010,2019,2,60,10.0
784,0,2019,2020,3,60,18.0
785,1,2015,2015,10,137,18.0
788,0,2015,2017,5,60,14.0
789,1,2019,2019,6,110,18.0
790,1,2016,2016,11,92,18.0
791,0,2016,2016,9,240,14.0
792,1,2015,2019,2,119,14.0
793,0,2016,2019,4,120,18.0
794,1,1996,2019,11,81,13.0
795,1,1992,2019,11,73,13.0
796,1,2008,2018,12,75,14.0
797,0,2017,2020,1,60,14.0
798,1,2016,2019,4,99,14.0
799,1,2020,2020,5,89,10.0
800,0,2018,2018,8,60,0.0
801,1,2007,2019,1,121,13.0
802,1,2008,2019,3,100,10.0
803,1,2007,2017,1,92,10.0
804,1,2018,2018,10,100,18.0
805,0,2015,2020,11,60,18.0
806,1,2017,2020,6,98,13.0
807,1,2016,2018,1,97,13.0
808,1,2016,2018,2,97,10.0
809,1,2016,2020,6,86,14.0
810,1,2015,2017,8,105,14.0
811,0,2001,2016,8,60,14.0
812,1,2017,2018,4,100,18.0
813,1,2018,2019,2,96,14.0
814,0,2015,2018,9,60,18.0
815,0,2010,2017,5,60,18.0
816,1,2016,2017,11,115,18.0
817,1,2015,2016,8,99,14.0
818,1,2011,2012,2,76,10.0
819,0,2016,2017,7,240,14.0
820,1,2014,2019,12,113,14.0
821,1,2018,2018,8,88,18.0
822,1,1975,2020,10,106,14.0
823,1,2016,2016,4,127,18.0
824,1,2015,2017,10,90,18.0
825,0,2015,2019,11,60,0.0
826,1,2018,2019,6,74,18.0
827,1,2016,2017,8,91,18.0
830,1,2020,2020,5,85,10.0
831,1,2019,2019,12,90,13.0
832,1,2017,2020,10,102,18.0
833,1,2019,2019,6,90,18.0
